"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","Create Budgets and correct for overspending FI-T11"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"broken","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","10","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","setUp","setUp",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateFirstBudgets","testCreateFirstBudgets","Create Budgets FI-T5"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testAddBudgetValidAmount","testAddBudgetValidAmount","Add budget valid amount FI-T6"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testAddBudgetInvalidAmount","testAddBudgetInvalidAmount","Add budget invalid amount FI-T7"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsWithFixedAmount","testCreateBudgetsWithFixedAmount","Create Budgets with fixed amount FI-T9"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","4","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","1","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAddAnAmountEveryPeriod","testCreateBudgetsAddAnAmountEveryPeriod","Create Budgets add an amount every period FI-T10"
"skipped","Fri Jul 19 20:17:02 GMT 2024","Fri Jul 19 20:17:02 GMT 2024","0","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","Budgets correct month and year FI-T8"
