"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Budget","","US_06.002 Set Periodic Budgeting with Fixed Amounts","0","0","2","0","0"
"Logging In","","US_02.006 Browser Navigation Behavior","0","0","2","0","0"
"Bill","","US_05.001 Bill Creation and Recurrence Setup","0","0","7","0","0"
"Logging In","","US_02.005 UI Consistency","0","0","2","0","0"
"Register an Account","","US_01.005 Password Security Features","0","0","4","0","0"
"Logging In","","US_02.002 Error Handling on Login Failure","0","0","2","0","4"
"Register an Account","","US_01.004 Password Security Features","0","0","3","0","0"
"Register an Account","","US_01.003 Password Requirements","0","0","2","0","3"
"Bill","","US_05.002 Expected Monthly Costs","0","0","2","0","0"
"Budget","","US_06.001 Create a New Budget","0","0","2","0","0"
"Register an Account","","US_01.007 Handling Special Cases in Registration Fields","0","0","2","0","1"
"Logging In","","US_02.001 Successful Login","0","0","2","0","0"
"Register an Account","","US_01.001 Successful Account Registration","0","0","1","0","0"
"Register an Account","","US_01.002 Error Handling for Registration Fields","0","0","4","0","0"
"Logging In","","US_02.007 Logging In","0","0","0","0","1"
"Logging Out","","US_03.002 Security of Logout Process","0","0","3","0","0"
"Budget","","US_06.004 Input Validation for Budget Amounts","0","0","2","0","0"
"Logging In","","US_02.004 Keyboard Accessibility","0","0","1","0","0"
"Logging Out","","US_03.004 Logout and Browser Back Button","0","0","1","0","0"
"Register an Account","","US_01.006 Keyboard Accessibility in Registration","0","0","1","0","0"
"Logging In","","US_02.003 Password Management","0","0","4","0","0"
"Logging Out","","US_03.001 Basic Logout Functionality","0","0","2","0","0"
"Budget","","US_06.003 Correct for Overspending in Budget","0","0","1","0","0"
